what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1744507898535
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744507899100
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1744507901022
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1744507901291
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/Soc/NIOS-II-Programming/Lab10/bai1/software/bai1_lab10/bai1_lab10.elf] return code: 4, 'other error'",1744507904610
error,log,,,"Downloading ELF Process failed",1744507904610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507904628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507918888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507933505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507933560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1744507935430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507938491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507962910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507966017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507976861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507977158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507980777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507987158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507988481
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1744507988857
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1744507990452
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1744507990706
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1744507993376
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/d/Soc/NIOS-II-Programming/Lab10/bai1/software/bai1_lab10/bai1_lab10.elf] return code: 4, 'other error'",1744507996700
error,log,,,"Downloading ELF Process failed",1744507996700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507996713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1744507998951
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1744508005406
